ra;cep_inferior;cep_superior;alias
Brasília (1ª parte);70000000;70639999;Brasília
Brasília (2ª parte);70700000;70999999;Brasília
Gama;72400000;72499999;Gama
Taguatinga (1ª parte);72000000;72004999;Taguatinga
Taguatinga (2ª parte);72010000;72199999;Taguatinga
Brazlândia;72700000;72799999;Brazlândia
Sobradinho (1ª parte);73000000;73059999;Sobradinho
Sobradinho (2ª parte);73070000;73299999;Sobradinho
Planaltina;73300000;73699999;Planaltina
Paranoá;71570000;71589999;Paranoá
Núcleo Bandeirante (1ª parte);71700000;71724999;Núcleo Bandeirante
Núcleo Bandeirante (2ª parte);71730000;71734999;Núcleo Bandeirante
Núcleo Bandeirante (3ª parte);71750000;71799999;Núcleo Bandeirante
Ceilândia;72200000;72299999;Ceilândia
Guará;71000000;71199999;Guará
Cruzeiro;70640000;70659999;Cruzeiro
Samambaia;72300000;72399999;Samambaia
Santa Maria;72500000;72599999;Santa Maria
São Sebastião;71690000;71699999;São Sebastião
Recanto das Emas;72600000;72699999;Recanto das Emas
Lago Sul;71600000;71679999;Lago Sul
Riacho Fundo;71800000;71879999;Riacho Fundo
Lago Norte;71500000;71554999;Lago Norte
Itapoã;71590000;71599999;Itapoã
Candangolândia;71725000;71729999;Candangolândia
Águas Claras;71900000;71999999;Águas Claras
Riacho Fundo II;71880000;71899999;Riacho Fundo II
Sudoeste e Octogonal;70660000;70699999;Sudoeste e Octogonal
Varjão;71555000;71559999;Varjão
Park Way;71735000;71749999;Park Way
SCIA (Setor Complementar de Indústria e Abastecimento);71250000;71299999;SCIA (Setor Complementar de Indústria e Abastecimento)
Sobradinho II;73060000;73069999;Sobradinho II
Jardim Botânico;71680000;71689999;Jardim Botânico
SIA (Setor de Indústria e Abastecimento);71200000;71249999;SIA (Setor de Indústria e Abastecimento)
Vicente Pires;72005000;72009999;Vicente Pires
Reserva Técnica;71300000;71499999;Reserva Técnica
Reserva Técnica;71560000;71569999;Reserva Técnica
Localidades do entorno do DF;72800000;72999999;Localidades do entorno do DF
Localidades do entorno do DF;73700000;73999999;Localidades do entorno do DF